originalMessage,bitMessage,encodedMessage,transmittedMessage,selectedAlgorithm,isError,errorRate,dataBitsCount_x,errorCount,errorDetected,isOneError,errorResolved,dataBitsCount_y,receivedMessage,detectedAlgorithm,decodedBitMessage,decodedTextMessage,mensaje_correcto
testing,01110100011001010111001101110100011010010110111001100111,000000000000000000000000000111000110111110100011000101011100110111101000110100101101110011001110,000000000000000000000000000111000110111110100011000101011100110111101000110100101101110011001110,hamming,False,0.0,56,0,False,False,True,56,000000000000000000000000000111000110111110100011000101011100110111101000110100101101110011001110,hamming,01110100011001010111001101110100011010010110111001100111,testing,True
testinding,01110100011001010111001101110100011010010110111001100100011010010110111001100111,10111010001100101011100110111010001101001011011100110010001101001011011100110011110000111010100100010010000011001,00101010011111111001001110010000111000111111100111110100011000010100100100101101001011001000100111110100011100011,fletcher,True,0.5,0,60,True,True,True,1426007841,00101010011111111001001110010000111000111111100111110100011000010100100100101101001011001000100111110100011100011,hamming,001111110011110100011000011001001001011010010110010001001111010001110001,?=dDôq,False
lapoliziiiaaa,01101100011000010111000001101111011011000110100101111010011010010110100101101001011000010110000101100001,1011011000110000101110000011011110110110001101001011110100110100101101001011010010110000101100001011000010000000000000000111110111110111101101110,0011111000010000101100000011011111111100001001001110010101110100101101001011010010110100001000001011101011000101000100010111000111110101101111111,fletcher,True,0.2,0,27,True,False,False,2082562159,0011111000010000101100000011011111111100001001001110010101110100101101001011010010110100001000001011101011000101000100010111000111110101101111111,hamming,,,False
mensaje correcto?,0110110101100101011011100111001101100001011010100110010100100000011000110110111101110010011100100110010101100011011101000110111100111111,101101101011001010110111001110011011000010110101001100101001000000110001101101111011100100111001001100101011000110111010001101111001111111011110010101001,010010010000110101001101110011100100111101001010110000010110110111001110110010000100011111000110110011010000100001000101110010101110000000100001101000110,fletcher,True,0.9,0,138,True,True,True,2451217308,010010010000110101001101110011100100111101001010110000010110110111001110110010000100011111000110110011010000100001000101110010101110000000100001101000110,hamming,0111100101010000010110110110011101100100001010111110001101001101000010000100010111001010111000000010000110100011,yP[gd+ãMEÊà!£,False
hmmm mensajitos?,01101000011011010110110101101101001000000110110101100101011011100111001101100001011010100110100101110100011011110111001100111111,1011010000110110101101101011011010010000001101101011001010110111001110011011000010110101001101001011101000110111101110011001111111010000001010001,0100101111001001010010010100100101101111110010010100110101001000110001100100111101001010110010110100010111001000010001100110000000101111110101110,fletcher,True,1.0,0,145,True,True,True,2542965394,0100101111001001010010010100100101101111110010010100110101001000110001100100111101001010110010110100010111001000010001100110000000101111110101110,hamming,01111001001100110101000000100011001001111010010101100101110001011100100001000110011000000010111111010111,y3P#'¥eÅÈF`/×,False
fisgoneando jeej,01100110011010010111001101100111011011110110111001100101011000010110111001100100011011110010000001101010011001010110010101101010,00000000000000000000000001000000001001100011001100100101110011010100111011011110110111001100101001100001011011100110010001101111001000000110101001100101011001010011010100,01100010001111111011101100000110111111001111010111100000010100111110110000001001011101011000000101100110101000010101111110101011111101111001111010000101011101110110010101,hamming,True,0.5,128,89,True,False,False,3296687629,01100010001111111011101100000110111111001111010111100000010100111110110000001001011101011000000101100110101000010101111110101011111101111001111010000101011101110110010101,hamming,,,False
pruebitaaaaaaa,0111000001110010011101010110010101100010011010010111010001100001011000010110000101100001011000010110000101100001,000000000000000000000000001110000110111110000011110010011101010111001010110001001101001011101000111000010110000101100001011000010110000101100001011000011,100110000100000000100010011011001010111110000001110010011110010110100010110011011101010001111000010010010110000101000001011011100111110000000010011010011,hamming,True,0.3,112,40,False,False,False,0,100110000100000000100010011011001010111110000001110010011110010110100010110011011101010001111000010010010110000101000001011011100111110000000010011010011,fletcher,,,False
esto es mensajito2,011001010111001101110100011011110010000001100101011100110010000001101101011001010110111001110011011000010110101001101001011101000110111100110010,10110010101110011011101000110111100100000011001010111001100100000011011010110010101101110011100110110000101101010011010010111010001101111001100100011000011010101,10110010101110011011101000110110100100000011001000111001100100000011011110110000100101010011100110110000101101000011010010111010001101111011101100011000011000101,fletcher,True,0.1,0,10,False,False,False,0,10110010101110011011101000110110100100000011001000111001100100000011011110110000100101010011100110110000101101000011010010111010001101111011101100011000011000101,fletcher,,,False
fletcher>hamming?,0110011001101100011001010111010001100011011010000110010101110010001111100110100001100001011011010110110101101001011011100110011100111111,101100110011011000110010101110100011000110110100001100101011100100011111001101000011000010110110101101101011010010110111001100111001111110111011110110001,101100110011011000110010101110100011000110110100001100101011100100011111001101000011000010110110101101101011010010110111001100111001111110111011110110001,fletcher,False,0.0,0,0,False,False,False,0,101100110011011000110010101110100011000110110100001100101011100100011111001101000011000010110110101101101011010010110111001100111001111110111011110110001,fletcher,,,False
oh maaa gadd,011011110110100000100000011011010110000101100001011000010010000001100111011000010110010001100100,10110111101101000001000000110110101100001011000010110000100100000011001110110000101100100011001000101110000111011,10110111101101000001000000110110101100001011000010110000100100000011001110110000101100100011001000101110000111011,fletcher,False,0.0,0,0,False,False,False,0,10110111101101000001000000110110101100001011000010110000100100000011001110110000101100100011001000101110000111011,fletcher,,,False
esto es prueba,0110010101110011011101000110111100100000011001010111001100100000011100000111001001110101011001010110001001100001,000000000000000000000000001110000110111010101011110011011101000111011110010000001100101011100110101000000111000001110010011101010110010101100010011000011,111111111011111111111111010101111111001100010100001110100110111100100101101111010011011100011001010111100000011010001100100011111001000000011100010111100,hamming,True,0.8,112,127,False,False,False,0,111111111011111111111111010101111111001100010100001110100110111100100101101111010011011100011001010111100000011010001100100011111001000000011100010111100,fletcher,,,False
mensajito test,0110110101100101011011100111001101100001011010100110100101110100011011110010000001110100011001010111001101110100,000000000000000000000000001110000010111001101011100101011011100101100110110000101101010011010010011101000110111100100000011101000110010101110011011101001,111111111111111111111111110001111101000110010100011010100100011010011001001111010010101100101101100010111001000011011111100010111001101010001100100010110,hamming,True,1.0,112,153,False,False,False,0,111111111111111111111111110001111101000110010100011010100100011010011001001111010010101100101101100010111001000011011111100010111001101010001100100010110,fletcher,,,False
